idencuesta,ola,social_trust,trust_nb,clase,m0_sexo,m0_edad,age10,swb,employed,couple,t02_01
5109125,1,0,0,3,2,45,-0.49403752248779254,0,1,0,2
5109142,1,0,0,3,1,53,0.30596247751220745,0,1,0,2
5109151,1,1,0,1,2,59,0.9059624775122075,0,0,0,2
5109152,1,0,1,2,2,38,-1.1940375224877926,0,1,0,3
5109153,1,0,0,1,2,34,-1.5940375224877925,0,0,0,3
5109155,1,0,1,3,1,33,-1.6940375224877926,0,0,0,3
5109178,1,0,0,3,2,22,-2.7940375224877925,0,0,0,3
5109203,1,0,1,2,2,50,0.005962477512207442,0,1,0,5
5109205,1,1,1,3,2,59,0.9059624775122075,1,0,1,5
5109226,1,0,0,3,2,44,-0.5940375224877925,0,1,0,4
5109227,1,0,1,3,1,47,-0.2940375224877926,0,0,0,4
5109241,1,0,1,3,1,50,0.005962477512207442,0,1,0,5
5109242,1,0,1,3,2,54,0.40596247751220743,0,1,1,5
5109254,1,0,0,1,2,63,1.3059624775122074,0,0,0,3
5109255,1,0,0,2,2,34,-1.5940375224877925,0,1,1,2
5109256,1,0,0,1,2,28,-2.1940375224877924,0,1,1,5
5109261,1,0,0,1,2,51,0.10596247751220744,0,1,0,4
5109282,1,0,0,3,1,24,-2.5940375224877927,0,1,1,3
5109284,1,0,0,1,2,24,-2.5940375224877927,0,0,0,4
5109285,1,0,0,3,2,33,-1.6940375224877926,0,1,0,4
5109286,1,0,0,3,2,50,0.005962477512207442,0,0,0,2
5109293,1,0,1,1,2,73,2.3059624775122076,0,0,1,4
5109294,1,0,0,3,1,67,1.7059624775122075,0,0,1,2
5109295,1,0,1,3,2,39,-1.0940375224877925,0,1,1,3
5109302,1,0,1,3,2,56,0.6059624775122074,0,1,0,1
5109303,1,0,1,1,2,66,1.6059624775122074,1,0,0,5
5109305,1,0,0,3,2,25,-2.4940375224877926,0,1,1,3
5109314,1,0,1,1,2,48,-0.19403752248779255,0,1,0,4
5109315,1,0,0,3,2,33,-1.6940375224877926,0,0,1,3
5109331,1,0,1,3,2,46,-0.39403752248779256,0,1,0,4
5109336,1,1,0,3,2,26,-2.3940375224877926,1,0,0,4
5109337,1,0,0,1,2,53,0.30596247751220745,0,1,0,4
5109341,1,0,0,1,2,25,-2.4940375224877926,0,1,1,4
5109342,1,0,0,1,2,45,-0.49403752248779254,0,1,0,4
5109343,1,0,0,3,2,35,-1.4940375224877926,0,1,0,2
5109344,1,0,0,3,1,47,-0.2940375224877926,0,1,0,2
5109346,1,0,0,3,1,35,-1.4940375224877926,1,0,0,4
5109354,1,0,1,3,1,49,-0.09403752248779255,0,1,1,5
5109363,1,0,1,1,2,68,1.8059624775122074,1,0,0,5
5109375,1,0,1,3,1,59,0.9059624775122075,0,1,1,5
5109392,1,0,0,3,2,49,-0.09403752248779255,0,1,0,4
5109393,1,0,1,3,1,50,0.005962477512207442,0,0,0,4
5109394,1,0,0,3,1,29,-2.0940375224877927,0,1,1,4
5109397,1,0,0,3,2,27,-2.2940375224877925,0,1,1,4
5402011,1,0,0,3,2,46,-0.39403752248779256,0,1,0,1
5402021,1,0,0,3,2,66,1.6059624775122074,0,1,0,4
5402023,1,0,1,3,2,43,-0.6940375224877926,0,0,0,4
5402041,1,0,1,1,1,69,1.9059624775122075,0,0,1,4
5402051,1,0,1,1,2,49,-0.09403752248779255,0,1,0,4
5402053,1,0,1,3,1,27,-2.2940375224877925,0,0,0,2
5402071,1,1,1,3,2,54,0.40596247751220743,0,1,0,4
5402073,1,0,1,2,2,46,-0.39403752248779256,0,1,0,5
5402081,1,0,0,3,2,55,0.5059624775122075,0,1,1,4
5402101,1,0,1,1,2,66,1.6059624775122074,0,1,0,5
5402103,1,0,0,3,2,47,-0.2940375224877926,0,0,1,4
5701032,1,1,1,3,1,49,-0.09403752248779255,0,1,1,4
5701042,1,0,1,1,2,63,1.3059624775122074,1,0,1,3
5701043,1,0,0,3,1,65,1.5059624775122074,0,0,1,4
5701063,1,0,1,1,1,68,1.8059624775122074,0,1,1,4
5701122,1,0,1,1,2,56,0.6059624775122074,0,1,0,4
5701191,1,0,0,2,1,52,0.20596247751220745,1,1,1,4
5701192,1,0,1,1,1,52,0.20596247751220745,0,1,0,4
5701233,1,0,0,3,2,25,-2.4940375224877926,0,1,1,4
5801022,1,0,0,3,1,73,2.3059624775122076,0,1,1,4
5801023,1,0,0,2,2,60,1.0059624775122074,0,1,1,4
5801032,1,0,1,3,2,35,-1.4940375224877926,1,1,1,4
5801035,1,0,1,1,2,56,0.6059624775122074,1,0,1,5
5801042,1,0,0,3,2,60,1.0059624775122074,0,0,1,5
5801051,1,0,1,3,2,45,-0.49403752248779254,0,1,0,3
5801062,1,0,1,3,1,29,-2.0940375224877927,0,0,0,3
5801081,1,0,0,1,2,64,1.4059624775122075,0,1,0,4
5801082,1,0,1,3,1,32,-1.7940375224877925,0,0,1,4
5801094,1,0,0,1,2,75,2.5059624775122074,0,0,1,4
